Time,X,Y,Z,azimuth,elevation
0,-nan,-nan,-nan,-nan,-nan
0.1,0,0.0244918,0.279946,1.5708,1.48353
0.2,0,0.115919,1.32497,1.5708,1.48353
0.3,0,0.281759,3.22053,1.5708,1.48353
0.4,0.000947314,0.530047,6.04354,1.56901,1.48332
0.5,0.00332135,0.8702,9.84187,1.56698,1.48261
0.6,-0.00243591,1.31935,14.6799,1.57264,1.48116
0.7,-0.0380325,1.90846,20.6164,1.59072,1.47847
0.8,-0.134232,2.67602,27.6681,1.62092,1.47426
0.9,-0.334214,3.68337,35.9226,1.66128,1.4682
1,-0.673426,4.97741,45.3947,1.70528,1.4606
1.1,-1.1709,6.58929,56.1258,1.74666,1.45212
1.2,-1.81693,8.51506,68.1514,1.78102,1.44373
1.3,-2.58365,10.7273,81.509,1.80714,1.43624
1.4,-3.45359,13.2078,96.227,1.82655,1.42987
1.5,-4.44086,15.9719,112.299,1.84199,1.42423
1.6,-5.5773,19.0602,129.731,1.85546,1.41889
1.7,-6.86481,22.4752,148.492,1.86724,1.41384
1.8,-8.2825,26.1942,168.587,1.87704,1.40926
1.9,-9.82742,30.2107,189.989,1.8853,1.40511
2,-11.5148,34.5386,212.647,1.8926,1.40123
2.1,-13.3376,39.1678,236.52,1.899,1.39761
2.2,-15.2833,44.0788,261.562,1.90455,1.39429
2.3,-17.3548,49.27,287.716,1.90946,1.39119
2.4,-19.5438,54.7264,314.92,1.9138,1.38832
2.5,-21.8412,60.4306,343.106,1.91761,1.38566
2.6,-24.2371,66.3564,372.137,1.921,1.38319
2.7,-26.642,72.3035,401.168,1.92383,1.38103
2.8,-29.0327,78.2173,429.959,1.92621,1.37913
2.9,-31.4089,84.0973,458.509,1.92824,1.37745
3,-33.7712,89.9439,486.823,1.92998,1.37595
3.1,-36.1195,95.7578,514.901,1.93149,1.37459
3.2,-38.4546,101.54,542.752,1.93282,1.37335
3.3,-40.7763,107.29,570.372,1.93399,1.37222
3.4,-43.0847,113.009,597.762,1.93504,1.37116
3.5,-45.3805,118.696,624.929,1.93597,1.37019
3.6,-47.6633,124.351,651.866,1.93682,1.36927
3.7,-49.9341,129.977,678.588,1.93759,1.36842
3.8,-52.1934,135.574,705.093,1.93829,1.3676
3.9,-54.4416,141.144,731.387,1.93893,1.36683
